#code for	loc	lim	C type	Var name	GetSet name	name	default	description	test	value on fail	test…			
f	0	:	:	:	:	ZoomSize	2	zoom stepping factor	1<=_X_					
i	0	:	:	:	:	MaxReferences	10000	max# of secondary refs	0<=_X_	0	_X_<=OLD_GLITCH	OLD_GLITCH		
f	0	:	:	:	:	GlitchLowTolerance	0	tolerance for glitch detection	0<=_X_	0	_X_<=1	1		
f	0	:	:	:	:	ApproxLowTolerance	0	tolerance for series approximation	0<=_X_	0	_X_<=1	1		
b	0	:	:	:	:	AutoApproxTerms	true	choose ApproxTerms based on remaining pixels						
i	0	:	:	:	:	ApproxTerms	10	Number of terms for series approximation	MIN_APPROX_TERMS<=_X_	MIN_APPROX_TERMS	_X_<=MAX_APPROX_TERMS	MAX_APPROX_TERMS		
i	0	:	:	:	:	WindowWidth	640	'display window''s width'	5<=_X_	5				
i	0	:	:	:	:	WindowHeight	360	'display window''s height'	5<=_X_	5				
i	0	:	:	:	:	WindowTop	-1	saved window position (top)	-1<=_X_	-1				
i	0	:	:	:	:	WindowLeft	-1	saved window position (left)	-1<=_X_	-1				
i	0	:	:	:	:	WindowBottom	-1	saved window position (bottom)	-1<=_X_	-1				
i	0	:	:	:	:	WindowRight	-1	saved window position (right)	-1<=_X_	-1				
f	0	:	:	:	:	ThreadsPerCore	1	Ratio of threads per CPU core	0<=_X_	1				
i	0	:	:	:	:	ThreadsReserveCore	0	how many cores to keep free	0<=_X_	0				
b	0	:	:	:	:	AnimateZoom	true	animate zooming						
b	0	:	:	:	:	ArbitrarySize	true	varying output to window ratio						
b	0	:	:	:	:	ReuseReference	false	'Don''t re-calculate the reference for further zooming'						
b	0	:	:	:	:	AutoSolveGlitches	true	auto-find glitches						
b	0	:	:	:	:	Guessing	true	guess interior of same-itercount regions						
b	0	:	:	:	:	SolveGlitchNear	false	only re-render connected pixels						
b	0	:	:	:	:	NoApprox	false	disable series approximation						
b	0	:	:	:	:	Mirror	false	Mirror values around the _X_ axis						
b	0	:	:	:	:	AutoIterations	true	auto-calculate the iteration limit						
b	0	:	:	:	:	ShowGlitches	true	show glitches in uniform color						
b	0	:	:	:	:	NoReuseCenter	true	calculate a new reference when zooming out						
i	0	:	:	:	:	IsolatedGlitchNeighbourhood	4	Ignore isolated glitches	0<=_X_	4	_X_==0||_X_==4||_X_==8			
i	0	:	:	:	:	JitterSeed	0	zero = off	0<=_X_	0				
i	0	:	:	:	:	JitterShape	0	uniform/Gaussian	0<=_X_	0	_X_<=1	1		
f	0	:	:	:	:	JitterScale	1	magnitude	0<=_X_	0				
b	0	:	:	:	:	Derivatives	false	Calculate slopes etc. for coloring						
b	0	:	:	:	:	ShowCrossHair	false	show a small magnifier window						
b	0	:	:	:	:	UseNanoMB1	false	Experimental code						
b	0	:	:	:	:	UseNanoMB2	false	More experimental code						
i	0	:	:	:	:	OrderM	16	NanoMBx parameter	1<=_X_	1	_X_<=MAX_APPROX_TERMS	MAX_APPROX_TERMS		
i	0	:	:	:	:	OrderN	16	NanoMBx parameter	1<=_X_	1	_X_<=MAX_APPROX_TERMS	MAX_APPROX_TERMS		
b	0	:	:	:	:	InteriorChecking	false	NanoMBx: may speed up interior space calc						
f	0	:	:	:	:	RadiusScale	0.1	NanoMBx parameter						
#E	0	:	:	:	:	Shrink	1	Shrink quality	0<=_X_&&_X_<=3					
i	0	:	:	:	:	Shrink	1	Shrink quality	0<=_X_&&_X_<=3					
b	0	:	:	:	:	HalfColour	false	pre-calculate EXR data						
b	0	:	:	:	:	SaveOverwrites	false	Save appends a timestamp to the filename						
b	0	:	:	:	:	ThreadedReference	true	use multiple threads for reference calculation						
i	0	:	:	:	:	SIMDVectorSize	2	Size of SIMD vectors	1<=_X_	1	_X_<=(1<<KF_SIMD)	1	!(_X_&(_X_-1))	_X_&~(_X_-1)
i	0	:	:	:	:	SIMDChunkSize	64	Size of SIMD chunks	1<=_X_					
i	0	:	:	:	:	GlitchCenterMethod	3	Reference Selection	0<=_X_	1	_X_<=3	1		
b	0	:	:	:	:	UseOpenCL	false	Use OpenCL						
b	0	:	:	:	:	OpenCLThreaded	true	run OpenCL in render thread						
i	0	:	:	:	:	OpenCLPlatform	0	which OpenCL impl to use	-1<_X_					
F	0	:	EXRChannels		:	EXRChannels	511	Flags which channels to save	0<_X_	0x1FF	_X_<=0x1FF	0x1FF		
b	0	:	:	:	:	EXRParallel	true	use multiple tasks to save EXR						
b	0	:	:	:	:	SaveNewtonProgress	false	periodically back up Newton status						
b	0	:	:	:	:	ExponentialMap	false	coordinate transform, for reassembly with zoomasm						
b	0	!cs	:	:	:	DerivativeGlitch	false	Use derivative-based glitch detection for power 2 Mandelbrot						
b	1	:	:	:	:	ReferenceStrictZero	false	Use strict zero test for reference dynamic range						
F	0	:	NumberType	:	:	NumberTypes	0xA6	Bitmask for allowed types	0<_X_	0xA6	_X_<=0xFF	0xA6		
b	0	:	:	:	:	UseRescaledSeries	true	Use rescaled version of series approximation, power 2 MB						
b	0	:	:	:	:	OpenResetsParameters	true	Clear parameters when opening this file						
i	0	ms	:	v_nX	:	ImageWidth	-1	Width of the raw image	 5<_X_	5				
i	0	ms	:	v_nY	:	ImageHeight	-1	Height of the raw image	 5<_X_	5				
i	0	!ms	:	m_nX	:	ImageWidth	-1	Width of the raw image	 5<_X_	5				
i	0	!ms	:	m_nY	:	ImageHeight	-1	Height of the raw image	 5<_X_	5				
i	65536	:	:	:	:	TargetWidth	640	Width of the output (= to-be-saved) image	 5<_X_	5				
i	131072	:	:	:	:	TargetHeight	360	Height of the output (= to-be-saved) image	 5<_X_	5				
i	262144	:	:	:	:	TargetSupersample	1	Super-sampling factor	 1<=_X_	1	_X_<10	10		
s	2	mgmsstgfeqed	std::string	v_Re	:	Re	0	Real part of center						
s	2	mgmsstgfeqed	std::string	v_Im	:	Im	0	Imaginary part of center						
